18041	1682262747.3083081	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18042	1682262749.5521226	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18043	1682262754.039407	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18044	1682262756.1840775	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18045	1682262756.8857465	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18046	1682262757.119966	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18047	1682262758.0034335	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18048	1682262760.4053931	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18049	1682262762.3039734	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18050	1682262766.9806275	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18051	1682262768.1102943	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18052	1682262769.067695	4	5	6	7	0	1	2	2	4	5	6	7	0	1	2	3
18053	1682262771.6144016	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18054	1682262772.5946596	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18055	1682262778.1354096	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18056	1682262780.7840843	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18057	1682262782.7373967	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18058	1682262785.439047	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18059	1682262786.0665789	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18060	1682262786.6482499	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3
18061	1682262791.1123393	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18062	1682262792.6094003	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18063	1682262793.906317	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18064	1682262795.8607051	0	0	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18065	1682262801.4591248	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
18066	1682262802.3931265	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18067	1682262802.930867	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18068	1682262804.347308	4	5	6	7	0	1	2	3	4	5	6	7	0	1	1	3
18069	1682262805.0899339	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18070	1682262809.2996016	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18071	1682262812.3752081	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18072	1682262813.4544861	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18073	1682262815.3194373	1	2	3	4	5	6	7	0	1	2	3	4	5	5	7	0
18074	1682262816.7551134	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1
18075	1682262817.9947128	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2
18076	1682262818.7596018	4	5	5	7	0	1	2	3	4	5	6	7	0	1	2	3
18077	1682262820.2922208	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4
18078	1682262828.0644808	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5
18079	1682262828.432168	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6
18080	1682262829.284704	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
18081	1682262830.032451	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0
