bpc,allocation,read_bounds,confmat,bw,ber,cer,is_pba
2,"((0, 8), (33, 34), (52, 53), (60, 61))","[0, 19, 39, 55, 64]","[[1445    7    0    0]
 [   4 1403    1    0]
 [   0    0 1408    0]
 [   0    0    7 1401]]",224233.43596382134,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (52, 54), (60, 62))","[0, 17, 41, 55, 64]","[[1447    5    0    0]
 [   5 1403    0    0]
 [   0    0 1403    5]
 [   0    0    4 1404]]",223738.92964440174,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (33, 34), (50, 51), (60, 63))","[0, 20, 40, 53, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1407    1]
 [   0    0    2 1406]]",221870.90910738322,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (33, 34), (50, 51), (60, 63))","[0, 20, 40, 53, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1407    1]
 [   0    0    2 1406]]",221870.90910738322,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (49, 51), (60, 61))","[0, 17, 38, 53, 64]","[[1447    5    0    0]
 [   5 1400    3    0]
 [   0    1 1404    3]
 [   0    0    2 1406]]",221024.91539915663,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (33, 34), (49, 50), (59, 63))","[0, 21, 39, 52, 64]","[[1450    2    0    0]
 [  10 1397    1    0]
 [   0    0 1406    2]
 [   0    0    4 1404]]",219759.80939582438,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (33, 34), (49, 50), (60, 63))","[0, 20, 39, 54, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1408    0]
 [   0    0    3 1405]]",219729.24378924485,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (33, 34), (49, 50), (60, 63))","[0, 20, 39, 54, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1408    0]
 [   0    0    3 1405]]",219729.24378924485,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (51, 53), (60, 62))","[0, 19, 39, 54, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    1 1399    8]
 [   0    0    0 1408]]",219367.88266929577,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (52, 54), (60, 62))","[0, 19, 40, 55, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    0 1403    5]
 [   0    0    4 1404]]",219140.4521854094,0.0016737138830162086,0.0033474277660323626,False
