,bpc,allocation,read_bounds,confmat,bw,ber,cer
3064,2,"((0, 16), (39, 43), (53, 57), (62, 63))","[0, 18, 44, 56, 64]","[[3025    1    0    0]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",33756597.5546619,0.00016440608302507192,0.00032881216605018526
3189,2,"((0, 16), (39, 43), (53, 57), (63, 63))","[0, 18, 44, 56, 64]","[[3025    1    0    0]
 [   0 3033    1    0]
 [   0    1 3033    0]
 [   0    0    1 3070]]",23494363.473430697,0.00016440608302507192,0.00032881216605018526
113,1,"((0, 24), (51, 63))","[0, 32, 64]","[[3031    0]
 [   1 3033]]",38748700.79451008,0.00016488046166529267,0.00016488046166529546
120,1,"((0, 24), (60, 63))","[0, 38, 64]","[[3031    0]
 [   1 3033]]",37892296.08720332,0.00016488046166529267,0.00016488046166529546
118,1,"((0, 24), (58, 63))","[0, 36, 64]","[[3031    0]
 [   1 3033]]",35269074.29259209,0.00016488046166529267,0.00016488046166529546
96,1,"((0, 20), (47, 63))","[0, 27, 64]","[[3030    0]
 [   1 3033]]",15989004.56296886,0.00016490765171503957,0.00016490765171506272
105,1,"((0, 20), (60, 63))","[0, 35, 64]","[[3030    0]
 [   1 3033]]",15010027.17141895,0.00016490765171503957,0.00016490765171506272
103,1,"((0, 20), (58, 63))","[0, 34, 64]","[[3030    0]
 [   1 3033]]",12386805.376807727,0.00016490765171503957,0.00016490765171506272
127,1,"((0, 32), (51, 63))","[0, 36, 64]","[[3028    0]
 [   1 3033]]",59129060.40078942,0.0001649620587264929,0.00016496205872651437
134,1,"((0, 32), (60, 63))","[0, 42, 64]","[[3028    0]
 [   1 3033]]",58272655.69348265,0.0001649620587264929,0.00016496205872651437
132,1,"((0, 32), (58, 63))","[0, 40, 64]","[[3028    0]
 [   1 3033]]",55649433.89887143,0.0001649620587264929,0.00016496205872651437
51,1,"((0, 12), (47, 63))","[0, 24, 64]","[[3028    0]
 [   1 3033]]",20386912.44858645,0.0001649620587264929,0.00016496205872651437
60,1,"((0, 12), (60, 63))","[0, 32, 64]","[[3028    0]
 [   1 3033]]",19407935.05703654,0.0001649620587264929,0.00016496205872651437
58,1,"((0, 12), (58, 63))","[0, 31, 64]","[[3028    0]
 [   1 3033]]",16784713.262425315,0.0001649620587264929,0.00016496205872651437
35,1,"((0, 10), (47, 63))","[0, 23, 64]","[[3027    0]
 [   1 3033]]",15249317.572756037,0.00016498927569707968,0.00016498927569708055
44,1,"((0, 10), (60, 63))","[0, 31, 64]","[[3027    0]
 [   1 3033]]",14270340.181206128,0.00016498927569707968,0.00016498927569708055
42,1,"((0, 10), (58, 63))","[0, 30, 64]","[[3027    0]
 [   1 3033]]",11647118.386594903,0.00016498927569707968,0.00016498927569708055
79,1,"((0, 16), (39, 63))","[0, 18, 64]","[[3025    1]
 [   0 3034]]",42649418.82145952,0.00016501650165016502,0.00016501650165012816
81,1,"((0, 16), (47, 63))","[0, 25, 64]","[[3026    0]
 [   1 3033]]",18100155.865074635,0.00016501650165016502,0.00016501650165012816
90,1,"((0, 16), (60, 63))","[0, 34, 64]","[[3026    0]
 [   1 3033]]",17121178.473524727,0.00016501650165016502,0.00016501650165012816
88,1,"((0, 16), (58, 63))","[0, 32, 64]","[[3026    0]
 [   1 3033]]",14497956.6789135,0.00016501650165016502,0.00016501650165012816
3274,2,"((0, 20), (39, 43), (53, 56), (62, 63))","[0, 20, 44, 56, 64]","[[3029    1    0    0]
 [   2 3031    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",29485978.436263952,0.00020481730296575455,0.0004096346059314637
3343,2,"((0, 20), (39, 43), (53, 56), (63, 63))","[0, 20, 44, 56, 64]","[[3029    1    0    0]
 [   2 3031    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",19223744.355032746,0.00020481730296575455,0.0004096346059314637
2323,2,"((0, 12), (40, 45), (53, 56), (62, 63))","[0, 17, 45, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    3 3068    0]
 [   0    0    1 3070]]",35743528.57395709,0.00020485086856768272,0.0004097017371353928
2163,2,"((0, 12), (39, 43), (52, 55), (61, 63))","[0, 17, 44, 54, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    2 3068    1]
 [   0    0    1 3070]]",35547607.36462285,0.00020485086856768272,0.0004097017371353928
2235,2,"((0, 12), (35, 41), (52, 55), (62, 63))","[0, 14, 42, 55, 64]","[[3028    0    0    0]
 [   3 3030    0    1]
 [   0    0 3071    0]
 [   0    0    0 3071]]",34063070.79607131,0.00020485086856768272,0.00032776138970824764
2739,2,"((0, 14), (39, 43), (52, 55), (62, 63))","[0, 17, 44, 55, 64]","[[3026    0    0    2]
 [   0 3033    1    0]
 [   0    2 3069    0]
 [   0    0    0 3071]]",26061602.47846082,0.00020485086856768272,0.0004097017371353928
2563,2,"((0, 12), (40, 45), (53, 56), (63, 63))","[0, 17, 45, 56, 64]","[[3028    0    0    0]
 [   0 3033    1    0]
 [   0    3 3068    0]
 [   0    0    1 3070]]",25481294.492725886,0.00020485086856768272,0.0004097017371353928
1642,2,"((0, 10), (33, 45), (52, 55), (62, 63))","[0, 11, 44, 55, 64]","[[3027    0    0    0]
 [   3 3031    0    0]
 [   0    2 3069    0]
 [   0    0    0 3071]]",32169757.949179567,0.00020486765549455053,0.00040973531098909
1590,2,"((0, 10), (31, 41), (52, 55), (62, 63))","[0, 10, 42, 55, 64]","[[3027    0    0    0]
 [   3 3029    2    0]
 [   0    0 3071    0]
 [   0    0    0 3071]]",32102475.340309117,0.00020486765549455053,0.00040973531098909
1547,2,"((0, 10), (36, 42), (52, 55), (61, 63))","[0, 11, 43, 54, 64]","[[3027    0    0    0]
 [   2 3032    0    0]
 [   0    1 3069    1]
 [   0    0    1 3070]]",31491854.31621965,0.00020486765549455053,0.00040973531098909
1767,2,"((0, 10), (40, 45), (53, 56), (62, 63))","[0, 16, 45, 56, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    3 3068    0]
 [   0    0    1 3070]]",30605933.69812668,0.00020486765549455053,0.00040973531098909
1555,2,"((0, 10), (39, 43), (52, 55), (61, 63))","[0, 16, 44, 54, 64]","[[3027    0    0    0]
 [   0 3033    1    0]
 [   0    2 3068    1]
 [   0    0    1 3070]]",30410012.48879244,0.00020486765549455053,0.00040973531098909
1723,2,"((0, 10), (37, 42), (52, 55), (62, 63))","[0, 14, 43, 55, 64]","[[3027    0    0    0]
 [   3 3030    1    0]
 [   0    1 3070    0]
 [   0    0    0 3071]]",29569272.66664902,0.00020486765549455053,0.00040973531098909
1726,2,"((0, 10), (37, 42), (53, 56), (62, 63))","[0, 14, 44, 56, 64]","[[3027    0    0    0]
 [   3 3030    1    0]
 [   0    0 3071    0]
 [   0    0    1 3070]]",29439811.492064282,0.00020486765549455053,0.00040973531098909
1679,2,"((0, 10), (35, 41), (52, 55), (62, 63))","[0, 13, 42, 55, 64]","[[3027    0    0    0]
 [   3 3030    0    1]
 [   0    0 3071    0]
 [   0    0    0 3071]]",28925475.9202409,0.00020486765549455053,0.0003277882487913164
